time,user_id,media_name,delta,alpha1,alpha2,beta1,beta2,gamma1,gamma2,theta,totalPower,FPOGX,FPOGY,FPOGD,RPD,LPD
276.9,USER_8,NewMedia17,-0.8982383686928007,-0.9226920449559155,-0.8263479323742101,-0.942702930158858,-0.606255317494524,-0.5687632552154163,-0.899335547993851,-0.9329586866693491,-0.8835709890220622,0.10430172299674112,-0.5804885923701611,-0.3088086147824112,0.2716156382333861,0.43414101728530774
277.9,USER_8,NewMedia17,-0.8367348925651336,-0.8722456822827103,-0.962532181797069,-0.7688947182987393,-0.8427123566108154,-0.8376284032427777,-0.7987304500277999,-0.9401362482467531,-0.8535923780487866,0.0733106583478973,-0.6602970092026564,-0.7991845605716184,0.12361710809234805,0.4323853368999475
278.9,USER_8,NewMedia17,-0.6973470806387514,-0.8049977797038657,-0.7313554168257156,-0.446667925526696,-0.22807275390302273,0.1661051535420892,-0.5324682261483276,-0.5774410648508912,-0.5982104388613447,-0.10838217901632163,-0.7245251073870921,-0.016418513244929378,0.20854798853650647,0.4063414146382862
280.0,USER_8,NewMedia17,-0.5191745733467145,-0.046695235788725475,-0.3756561383499394,-0.7147074522482318,-0.8920137646364719,-0.7525532351412186,-0.8211069231447327,-0.6858031201173631,-0.5159092951859727,-0.2690249268584778,-0.6938132512124868,0.6356680905808647,0.38108707003310505,0.5639834306970102
280.9,USER_8,NewMedia17,-0.5542588964307347,-0.6470841760689996,-0.8187367713966313,-0.7837621364210878,1.0,0.19226442524870024,-0.1499314377169415,-0.8180669628226723,-0.4725634981968022,-0.06637429155279218,-0.23382758860901753,-0.3319848544481634,0.3528089394691467,0.33170337070556255
281.9,USER_8,NewMedia17,-0.26208277802856084,-0.8660468532740457,-0.7646419963800195,-0.8655542361199671,-0.8368156723435763,-0.5380472071470085,-0.7923202136972196,-0.7172844750294567,-0.34989944300375875,0.006489892446153833,0.5630466379271157,-0.7080390942564417,-0.009336670112134127,0.052621540236101216
283.0,USER_8,NewMedia17,-0.9994100586495511,-0.9198326524502353,-0.9728872806378094,-0.8464694128568953,-0.746647678570184,-0.7983357962981261,-0.8720920435888848,-0.9848564769329379,-0.987439913818416,-0.2391736607124887,0.6399696941929296,-0.6308654868506551,0.15339506459310082,0.0830429939747801
283.9,USER_8,NewMedia17,-0.9290964820080145,-0.9878736711985385,-0.9028515332733071,-0.3957182634226024,-0.7763362019678491,-0.5846889584596756,-0.8298913210792316,-0.8098512112618048,-0.8841469746308479,0.19987659671200486,0.6215741303882805,-0.18762856221808866,-0.024699224694561428,0.12761170964369284
284.9,USER_8,NewMedia17,0.6802384378962147,-0.5811511766132051,-0.7586314658226183,-0.9070466866963778,-0.8452761323791804,-0.5459947160877854,-0.9165482196222609,-0.7378609321453203,0.3837197472484253,-0.28206589586918784,-0.23070528506452337,-0.4530859897725057,0.09763009556430902,0.3683353485315717
285.9,USER_8,NewMedia17,-0.16613601744964468,0.9589760670849701,0.45435239932946136,-0.7042704395262394,-0.18738563245907225,-0.010734591730871657,-0.7667386224149966,1.0,0.24732491512394073,-0.010958445345434109,0.23890253195493893,-0.860787612389077,0.06352320069450146,0.28766697658844365
287.0,USER_8,NewMedia22,-0.9466367854670311,-0.8732683847117491,-0.7871814859702744,-0.8404628055352588,-0.9102165725918624,-0.7735420232319189,-0.9786918996048305,-0.8754132990145133,-0.9252752270261935,-0.7096252923276996,-0.2537205903255231,-0.7635027532514437,-0.05035116095292602,-0.09384728376908635
287.9,USER_8,NewMedia22,0.17194868651541606,-0.9266576258032092,-0.3746108286877827,-0.7798855316957762,-0.1411351175977701,-0.5495695608429996,0.030267428020481102,-0.4783914956766898,0.06745972912238596,-0.5441729777602725,0.1559944705782319,-0.6986409278330175,-0.23001718415435068,-0.16955870096081693
288.9,USER_8,NewMedia22,-0.9792554324186239,-0.7324693931546773,-0.8267725894244613,-0.6567713816281924,-0.6182794258481552,-0.8523420346601618,-0.9626069547382818,-0.9262885111740891,-0.9481540953891738,-0.28676764336536353,0.4896995625159184,-0.5106710229278635,-0.2144626770716891,-0.14183495848732186
289.9,USER_8,NewMedia22,-0.7913177699540379,-0.988207614848837,-0.9239537220780966,-0.9491781380516859,-0.9569029293337866,-0.9344560652606204,-0.965752718863474,-0.9167340409503345,-0.8300518462177136,0.2438171538318581,0.47251770735544363,-0.391276598601106,-0.27728195997543514,-0.13098590535821486
290.9,USER_8,NewMedia22,-0.6125404566476037,-0.6665155222207391,-0.3256446042011275,-0.18318660436129564,1.0,-0.7719770697339281,-0.559118190152314,-0.785309336765494,-0.5470722765673142,0.5192750744707528,0.4887062194309144,-0.6563092818785063,-0.233857797977444,-0.0027890175410211215
291.9,USER_8,NewMedia22,-0.9142420375161598,-0.9465898874303963,-0.962858841066493,-0.9360147220063975,-0.8134340373360888,-0.9809750751224647,-0.9764958001212057,-0.7856332832640935,-0.8986142931595237,0.5260345642115902,0.49117262358176017,-0.592779588407081,-0.15285942794358875,-0.0012447107795139356
292.9,USER_8,NewMedia22,-0.17765055776061145,-0.7406092696307013,0.9284983288983741,-0.6612443870804747,0.6830931541738505,-0.5707578037912868,-0.466822657799978,-0.07857906888707522,-0.07644955525071939,0.05589490226190241,0.13655782245893322,-0.5142363284585265,-0.17057612492480823,-0.3118733098068648
294.0,USER_8,NewMedia22,-0.26357110250638627,-0.6899959351323468,-0.9139252825067802,-0.8731370453628841,-0.7092421901097405,-0.8671170368029573,-0.7905989465343786,-0.6089926732205122,-0.34026032384072946,-0.9012368491492198,-0.7498132632996982,0.012990352822716655,-0.47347173813788446,-0.7257652280722001
