obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
153, 157.0, 1398221, 230435, 41655, 3119, 9503, 34150, 23420, 3078, 23, 53, NA, 1743581,  1*
154, 159.0, 342138, 21081, 14998, 6266, 5979, 6189, 5840, 1271, 16, 53, NA, 403762,  1*
155, 160.0, 232599, 34884, 258, 2530, 945, 2180, 4401, 859, 14, 29, NA, 278656,  1*
156, 161.0, 760423, 131677, 27216, 10695, 10899, 26811, 11302, 1627, 23, 23, NA, 980650,  1*
157, 162.0, 830409, 33327, 20766, 4436, 6556, 18796, 12887, 8816, 30, 37, NA, 935993,  1*
158, 163.0, 254566, 68545, 6098, 5007, 7576, 8638, 14980, 4364, 29, 17, NA, 369774,  1*
159, 164.0, 82831, 18510, 4404, 7012, 2311, 3260, 2535, 792, 35, 41, NA, 121655,  1*
160, 165.0, 21405, 12648, 470, 2368, 1397, 2707, 3834, 837, 35, 37, NA, 45666,  1*
161, 166.0, 1802256, 484722, 25534, 72907, 29404, 80687, 54978, 32838, 27, 26, NA, 2583326,  1*
162, 167.0, 192457, 15982, 4535, 1867, 1252, 2692, 1121, 958, 29, 38, NA, 220864,  1*
163, 168.0, 432119, 241879, 36189, 42927, 28194, 55842, 32604, 7688, 37, 29, NA, 877442,  1*
164, 169.0, 7916, 8483, 6150, 3726, 7100, 9582, 3782, 6444, 48, 40, NA, 53183,  1*
165, 170.0, 81120, 13843, 2663, 718, 1112, 992, 1307, 808, 40, 43, NA, 102563,  1*
166, 171.0, 5053, 14040, 5467, 6062, 6678, 19049, 7265, 4126, 56, 41, NA, 67740,  1*
167, 172.0, 902495, 264600, 62494, 16126, 14539, 106442, 20257, 19473, 61, 40, NA, 1406426,  1*
168, 173.0, 934910, 382052, 66421, 19251, 18571, 22258, 24071, 8899, 38, 30, NA, 1476433,  1*
169, 174.0, 81015, 17787, 2547, 14427, 7735, 9550, 9818, 4870, 53, 41, NA, 147749,  1*
170, 175.0, 421959, 65400, 8841, 3780, 5741, 4305, 5911, 459, 27, 35, NA, 516396,  1*
171, 176.0, 1152122, 341610, 53575, 57113, 9339, 48836, 26966, 6040, 17, 38, NA, 1695601,  1*
172, 177.0, 886441, 207101, 53088, 24852, 5064, 14134, 23432, 9199, 17, 44, NA, 1223311,  1*
173, 178.0, 177230, 146782, 10059, 3244, 6428, 17508, 14863, 5907, 10, 21, NA, 382021,  1*
174, 179.0, 766880, 15317, 2462, 2348, 1522, 3187, 4247, 1122, 20, 26, NA, 797085,  1*
175, 180.0, 138017, 23901, 1216, 3866, 1482, 3363, 4385, 648, 21, 20, NA, 176878,  1*
176, 181.0, 1623074, 89411, 9632, 21710, 30356, 19282, 13820, 7021, 34, 14, NA, 1814306,  1
177, 182.0, 1352418, 930807, 212853, 17035, 54620, 54670, 81407, 33258, 24, 29, NA, 2737068,  1
178, 183.0, 674803, 210442, 181545, 83991, 31945, 38253, 69131, 14550, 17, 47, NA, 1304660,  1
179, 184.0, 624471, 143478, 39115, 4086, 18953, 14675, 14439, 4968, 14, 51, NA, 864185,  1
180, 185.0, 151656, 51185, 6622, 7112, 7912, 13934, 7064, 2486, 16, 48, NA, 247971,  1
181, 186.0, 837269, 179433, 15061, 5703, 5709, 7149, 11331, 3713, 13, 40, NA, 1065368,  1
182, 187.0, 866518, 46434, 15911, 26022, 11718, 25896, 12543, 6227, 26, 30, NA, 1011269,  1
183, 188.0, 1458580, 254572, 11184, 23412, 28514, 30263, 62113, 14793, 27, 23, NA, 1883431,  1
184, 189.0, 207180, 175820, 27295, 33299, 40491, 22388, 48615, 28452, 20, 26, NA, 583540,  1
185, 190.0, 63460, 42310, 16556, 6569, 10212, 6863, 11827, 1982, 30, 40, NA, 159779,  1
186, 191.0, 46305, 163100, 13977, 9736, 11963, 17110, 10959, 1941, 20, 23, NA, 275091,  1
187, 192.0, 578982, 275442, 23150, 18977, 11514, 25822, 54136, 26953, 17, 26, NA, 1014976,  1
188, 193.0, 481223, 145111, 26166, 10864, 41576, 6943, 28411, 6297, 10, 23, NA, 746591,  1
189, 194.0, 2071173, 157910, 28338, 118222, 10554, 91099, 65742, 23274, 20, 27, NA, 2566312,  1
190, 195.0, 272432, 520607, 61065, 61105, 22441, 27734, 41583, 10483, 11, 35, NA, 1017450,  1
191, 196.0, 268171, 30892, 4283, 7499, 1778, 7989, 7714, 2803, 20, 43, NA, 331129,  1
192, 197.0, 1210370, 921959, 224703, 119338, 78678, 45195, 163455, 158570, 20, 48, NA, 2922268,  1
193, 198.0, 306289, 96586, 33863, 4022, 5220, 8964, 37445, 6979, 4, 43, NA, 499368,  1
194, 199.0, 870972, 208878, 41470, 14846, 18358, 25042, 7008, 7751, 11, 43, NA, 1194325,  1
195, 199.9, 41754, 7487, 3425, 840, 1164, 1137, 1497, 464, 4, 48, NA, 57768,  1
196, 201.0, 1080196, 177332, 1916, 29579, 17855, 17330, 19913, 5949, 13, 40, NA, 1350070,  1
197, 202.0, 668171, 64476, 18491, 1104, 8253, 16653, 25089, 3022, 24, 35, NA, 805259,  1
198, 203.0, 168448, 119556, 47708, 14025, 8962, 16407, 19775, 4108, 26, 44, NA, 398989,  1
199, 204.0, 139184, 60215, 27830, 6817, 3506, 12443, 10661, 3520, 29, 44, NA, 264176,  1
200, 205.0, 99615, 11359, 7069, 6555, 4282, 4957, 3193, 1702, 37, 61, NA, 138732,  1
201, 206.0, 1236924, 23829, 20316, 10883, 5646, 21981, 10133, 4708, 43, 75, NA, 1334420,  1
202, 207.0, 351469, 667916, 37772, 27093, 27380, 57099, 26497, 21013, 40, 54, NA, 1216239,  1
203, 208.0, 169493, 131909, 28565, 26983, 9427, 37744, 14064, 2166, 44, 50, NA, 420351,  1
204, 209.0, 706526, 43828, 22945, 32522, 12179, 68555, 19552, 5089, 56, 44, NA, 911196,  1
205, 210.0, 1854965, 173862, 14163, 1834, 15896, 66247, 28387, 5327, 56, 16, NA, 2160681,  1
206, 211.0, 1807010, 55166, 20489, 12460, 8997, 17103, 15118, 9084, 66, 37, NA, 1945427,  1
207, 212.0, 1164055, 86638, 20805, 5591, 10940, 16984, 18231, 4026, 64, 30, NA, 1327270,  1
208, 213.0, 331565, 43977, 6432, 3104, 5913, 3431, 6483, 3885, 41, 21, NA, 404790,  1
209, 214.0, 1898380, 226219, 20679, 57846, 76184, 54917, 153227, 24888, 34, 38, NA, 2512340,  1
210, 215.0, 423001, 734977, 34856, 37661, 53364, 46373, 61598, 41832, 21, 17, NA, 1433662,  1
211, 215.9, 546592, 72082, 68521, 21720, 9087, 6808, 21633, 4910, 8, 37, NA, 751353,  1
212, 216.9, 1961430, 988884, 98886, 148707, 37297, 95677, 129840, 36772, 10, 40, NA, 3497493,  1
213, 218.0, 1243828, 69341, 31090, 10818, 14628, 13511, 17988, 6734, 7, 48, NA, 1407938,  1
214, 219.0, 901822, 49459, 11548, 21183, 2714, 9985, 8129, 2982, 13, 67, NA, 1007822,  1
215, 220.0, 314219, 101777, 7113, 10558, 7962, 16280, 16893, 5359, 24, 43, NA, 480161,  1
216, 221.0, 115372, 45587, 33268, 12172, 8284, 10521, 8639, 3014, 27, 56, NA, 236857,  1
217, 222.0, 88556, 78052, 5365, 1546, 2292, 4217, 4751, 1361, 20, 37, NA, 186140,  1
218, 223.0, 147155, 37253, 5392, 3648, 7953, 10390, 8035, 3694, 26, 23, NA, 223520,  1
219, 223.9, 31323, 3140, 3231, 3971, 6838, 11566, 5971, 2868, 47, 35, NA, 68908,  1
220, 225.0, 586344, 70686, 26025, 4072, 2173, 9339, 11335, 9360, 44, 26, NA, 719334,  1
221, 226.0, 421745, 77644, 17235, 8999, 15615, 12805, 9289, 3542, 53, 40, NA, 566874,  1
222, 226.9, 632204, 37541, 16819, 17828, 16215, 41073, 22305, 12192, 63, 50, NA, 796177,  1
223, 228.0, 102169, 14006, 18246, 6659, 3585, 8696, 7018, 2417, 48, 61, NA, 162796,  1
224, 228.9, 207021, 50498, 9790, 6426, 3121, 11291, 7388, 2249, 53, 57, NA, 297784,  1
225, 229.9, 591519, 102647, 5436, 20578, 32627, 53427, 30672, 9455, 64, 51, NA, 846361,  1
226, 231.0, 173827, 30237, 4548, 5582, 6611, 6744, 6727, 1512, 53, 44, NA, 235788,  1
227, 232.0, 105475, 18604, 5478, 14905, 13585, 16039, 4791, 4449, 57, 35, NA, 183326,  1
228, 233.0, 373820, 103293, 24963, 13401, 6976, 42990, 21931, 18226, 64, 35, NA, 605600,  1
229, 234.0, 94835, 8501, 2131, 632, 973, 2489, 1177, 891, 57, 40, NA, 111629,  1
230, 235.0, 2046267, 186940, 110798, 34349, 22884, 53803, 31018, 3592, 56, 50, NA, 2489651,  1
231, 236.0, 207760, 32203, 10792, 6438, 5878, 8679, 9014, 2621, 48, 48, NA, 283385,  1
232, 237.0, 438667, 90796, 27834, 2718, 8423, 29593, 6262, 1682, 47, 48, NA, 605975,  1
233, 237.9, 250427, 102704, 43562, 6507, 10273, 9385, 5577, 3314, 35, 54, NA, 431749,  1
234, 239.0, 134053, 31609, 5212, 5941, 1370, 4015, 2430, 501, 29, 48, NA, 185131,  1
235, 239.9, 636090, 65026, 17504, 10869, 20347, 15693, 16593, 2888, 29, 43, NA, 785010,  1
236, 241.0, 16932, 7353, 3537, 2161, 6958, 2055, 1269, 801, 26, 48, NA, 41066,  1
237, 242.0, 1060020, 127746, 30573, 38584, 25053, 27589, 21898, 12755, 35, 48, NA, 1344218,  1
238, 243.0, 635477, 117830, 2565, 17721, 3475, 10556, 10162, 5944, 30, 40, NA, 803730,  1
239, 244.0, 519558, 26060, 30725, 4975, 9346, 17232, 2434, 4351, 37, 51, NA, 614681,  1
240, 245.0, 46523, 20648, 8690, 2059, 6541, 6439, 3210, 953, 37, 48, NA, 95063,  1
241, 245.9, 78343, 12466, 5730, 6253, 1875, 9653, 3442, 3019, 48, 51, NA, 120781,  1
242, 247.0, 69215, 19724, 28143, 88374, 26821, 30457, 11597, 9781, 57, 81, NA, 284112,  1
243, 248.0, 343039, 6484, 7187, 9713, 6769, 3558, 5199, 3016, 51, 84, NA, 384965,  1
244, 249.0, 1431689, 17086, 36592, 9866, 12224, 5909, 4578, 2741, 44, 100, NA, 1520685,  1
245, 249.9, 48052, 36467, 5388, 3898, 5369, 6093, 2524, 1705, 34, 93, NA, 109496,  1
246, 251.0, 9850, 28410, 15376, 4990, 181, 5012, 2036, 1097, 26, 80, NA, 66952,  1
