time,MEDIA_ID,delta,FPOGX
529.9,,0.00257,0.45688
530.9,,0.0162,0.6907
532.0,,0.01425,0.64942
532.9,,0.12422,0.42399
533.9,,0.45936,0.56552
534.9,,0.09634,0.59109
536.0,,0.08108,0.33986
536.9,,0.02789,0.65306
537.9,,0.00369,0.39797
538.9,,0.08571,0.6617
539.9,,0.06542,0.35472
540.9,,0.00027,0.44106
541.9,,0.29883,0.30978
543.0,,0.06386,0.65712
543.9,,0.03242,0.32425
544.9,,0.39636,0.51175
545.9,,0.1468,0.0
546.9,,0.03333,0.50671
547.9,,0.09822,0.42262
548.9,,0.04196,0.50737
549.9,,0.26006,0.49244
550.9,,0.03062,0.58565
551.9,,0.22887,0.59018
552.9,,0.05591,0.39396
554.0,,0.05487,0.52934
554.9,,0.17404,0.588
555.9,,0.33523,0.51188
556.9,,0.01927,0.50526
557.9,,0.10881,0.47402
558.9,,0.24588,0.51531
560.0,,0.25161,0.42905
561.0,,0.0527,0.47192
561.9,,0.00296,0.41371
562.9,,0.00251,0.62363
563.9,,0.00607,0.16125
564.9,,0.0105,0.53194
565.9,,0.00104,0.58392
566.9,,0.00304,0.53776
568.0,,0.00228,0.33033
568.9,,0.0027,0.55401
569.9,,0.14406,0.59241
570.9,,0.02819,0.43634
572.0,,0.16663,0.57386
572.9,,0.761,0.41012
573.9,,0.0454,0.57885
574.9,,0.16279,0.59371
576.0,,0.4098,0.43748
576.9,,0.07488,0.63145
577.9,,0.0271,0.59232
579.0,,0.01754,0.49906
579.9,,0.19235,0.46058
580.9,,0.0223,0.63656
581.9,,0.29313,0.59243
582.9,,0.04512,0.5959
583.9,,0.02455,0.69175
584.9,,0.00998,0.18545
586.0,,0.43479,0.51515
586.9,,0.07794,0.5275
587.9,,0.18168,0.51816
588.9,,0.01981,0.24055
590.0,,0.15284,0.40987
590.9,,0.26643,0.20515
592.0,,0.134,0.4125
592.9,,0.03287,0.19709
593.9,,0.05086,0.34107
594.9,,0.03555,0.19358
595.9,,0.32964,0.23638
597.0,,0.53664,0.19562
597.9,,0.08374,0.50548
598.9,,0.03139,0.28518
599.9,,0.00436,0.51196
600.9,,0.00218,0.51498
601.9,,0.00563,0.66253
602.9,,0.00054,0.26614
604.0,,0.06217,0.43357
604.9,,0.00347,0.5144
605.9,,0.00111,0.22091
606.9,,0.13673,0.34253
607.9,,0.00074,0.32905
608.9,,0.02346,0.55107
609.9,,0.00058,0.61539
611.0,,0.00358,0.8403
611.9,,0.00909,0.3122
612.9,,0.13548,0.19708
613.9,,0.00384,0.41038
615.0,,0.001,0.53834
615.9,,0.00053,0.21863
616.9,,0.00701,0.22144
617.9,,5e-05,0.51196
618.9,,0.00151,0.57772
619.9,,0.01686,0.64674
620.9,,0.02,0.23142
622.0,,0.00057,0.30694
622.9,,0.00044,0.0
624.0,,0.29704,0.51222
624.9,,0.00134,0.79549
625.9,,0.00105,0.34323
626.9,,0.00332,0.4716
627.9,,0.00408,0.5339
629.0,,0.01736,0.57801
629.9,,0.00218,0.80972
630.9,,0.03341,0.2499
631.9,,0.02029,0.42139
633.0,,0.08325,0.78444
633.9,,0.00093,0.26211
634.9,,0.00136,0.25174
635.9,,0.00358,0.21915
636.9,,0.00106,0.2836
637.9,,0.03743,0.33788
638.9,,0.01603,0.17126
640.0,,0.01237,0.39779
640.9,,0.03009,0.17389
641.9,,0.00478,0.35153
642.9,,9e-05,0.46616
643.9,,0.15697,0.3022
644.9,,0.0088,0.67229
645.9,,0.00233,0.47785
647.0,,0.00034,0.372
647.9,,0.08338,0.32258
648.9,,0.0314,0.49466
649.9,,0.00524,0.48058
650.9,,0.0443,0.57792
651.9,,0.03472,0.22665
652.9,,0.07199,0.23561
654.0,,0.04798,0.41753
654.9,,0.02779,0.27419
656.0,,0.00129,0.45059
656.9,,0.00038,0.65531
658.0,,0.00052,0.18659
658.9,,0.00312,0.19241
659.9,,0.0,0.18138
660.9,,0.0179,0.25093
661.9,,0.04711,0.18962
662.9,,0.048,0.18728
663.9,,0.01926,0.74265
665.0,,0.00086,0.13463
665.9,,0.00286,0.45493
666.9,,0.00376,0.60816
667.9,,0.00305,0.68875
668.9,,0.00104,0.45116
669.9,,0.00355,0.48959
670.9,,0.00155,0.84852
672.0,,0.00109,0.70194
672.9,,0.00132,0.42631
673.9,,0.15829,0.23066
674.9,,0.01407,0.39904
676.0,,0.00112,0.37567
676.9,,0.05219,0.59484
677.9,,0.00407,0.53899
678.9,,0.00229,0.46002
679.9,,0.02887,0.0
680.9,,0.08039,0.52895
681.9,,0.02313,0.3869
683.0,,0.01929,0.37066
683.9,,0.06577,0.52683
684.9,,0.13327,0.3903
685.9,,0.00614,0.53299
686.9,,0.40193,0.53744
688.0,,0.01255,0.52093
688.9,,0.00017,0.54468
690.0,,0.20463,0.51956
690.9,,0.00486,0.59834
